"The picture quality is great, but this review is about basic safety IF you plan to use the base to mount your TV on a cabinet top or a table.",Feature,0.993606135,Price,0.003624666,Customer Service,0.002769198,Feature,
IT IS DANGEROUS and needs to be recalled by Samsung.,Customer Service,0.809063222,Feature,0.173107995,Price,0.017828783,Feature,
I am going to mount my (replacement TV) on the wall.,Feature,0.592587265,Price,0.264559916,Customer Service,0.142852819,Feature,
"I noticed how small the base mounting screws were, but I assumed the engineering was sufficient not to worry about the screws being strong enough - WRONG!",Feature,0.988475663,Customer Service,0.006171504,Price,0.005352833,Feature,
My TV fell to the floor and the front screen cracked.,Feature,0.87439773,Price,0.074239389,Customer Service,0.051362881,Feature,
I decided to work on getting this base recalled and potential buyers warned.,Customer Service,0.985870353,Price,0.009542871,Feature,0.004586776,None,
"Now, to be fair to both Amazon and Samsung, I was very impressed by the picture quality.",Feature,0.985748799,Customer Service,0.01132248,Price,0.002928721,Feature,
"This review is not about the quality of the screen or the electronics, it is about safety.",Feature,0.963847846,Price,0.023596153,Customer Service,0.012556001,Feature,
"I will be working with Amazon, Square Deal and Samsung to get these TV's recalled for the weak base design.",Customer Service,0.908049597,Feature,0.080007021,Price,0.011943382,None,
"A 65"" TV is heavy and could hurt anyone.",Feature,0.83077515,Price,0.106662068,Customer Service,0.062562783,Feature,
"I really like Samsung products, but this design is a big disappointment to me.",Feature,0.979563969,Customer Service,0.014309384,Price,0.006126646,Feature,
"The TV would power on and I could hear menu option clicks, but absolutely no screen.",Feature,0.896814639,Customer Service,0.068832095,Price,0.034353266,Feature,
The tech determined it was a defective screen and they would order another one.,Feature,0.59381986,Customer Service,0.330528484,Price,0.075651656,Customer Service,Feature
"The box has an obvious ""punch hole"" in the side.",Feature,0.985782454,Customer Service,0.009451636,Price,0.00476591,None,
The tech also told me I should just contact Samsung and see if they can just let me replace the TV at Best Buy.,Customer Service,0.947441379,Price,0.035375883,Feature,0.017182739,Customer Service,
"It's off shore of course, so that is what it is.",Feature,0.855749812,Price,0.076328915,Customer Service,0.067921273,None,
It's going to take almost a month to get my money back.,Price,0.944625167,Customer Service,0.046237092,Feature,0.009137741,Price,
Anything is probably better than Samsung.,Feature,0.662678024,Customer Service,0.314938651,Price,0.022383325,None,
Fantastic picture once you set the specs.,Feature,0.988883494,Customer Service,0.007231123,Price,0.003885383,Feature,
Big but easy to place on stand you will need 2 people to stand it up.,Customer Service,0.884482112,Feature,0.098771756,Price,0.016746132,Feature,
I would be happy to purchase items from this seller.,Price,0.97844261,Feature,0.019467968,Customer Service,0.002089422,None,
Lights on the corners and blue dots.,Feature,0.989327301,Price,0.005633794,Customer Service,0.005038905,Feature,
Samsung must have a bad batch.,Customer Service,0.927313823,Feature,0.060436638,Price,0.012249539,None,
Two TVs bad is just unacceptable.,Feature,0.897454433,Customer Service,0.066847324,Price,0.035698243,None,
"I previously had a 50 inch Panasonic Plasma TV that I was very fond of, and was concerned with finding something that would be equivalent (or better?)",Feature,0.671504239,Customer Service,0.21173204,Price,0.116763721,Feature,
"I was skeptical of LED(LCD) technology, and on paper, this TV appeared to match what I was looking for, with enhanced picture quality features.",Feature,0.960696868,Customer Service,0.03384527,Price,0.005457861,Feature,
"I found that this Samsung TV was in a sweet spot with price, picture quality .",Price,0.774919266,Feature,0.207629999,Customer Service,0.017450735,PRice,feature
"Regardless, I'm still very happy with this purchase when it comes to quality and price.",Price,0.991301437,Feature,0.004731131,Customer Service,0.003967432,price,Feature
Excellent tv and at a great price.,Price,0.986732969,Feature,0.008745819,Customer Service,0.004521213,price,
"I am an electronic snob and the for the quality, price, and design this is an excellent value for a SUHD tv.",Price,0.983881918,Feature,0.012661,Customer Service,0.003457083,price,feature
"Not a large topic, but just note that the 48"" model (at least at the moment) does not have Enhanced Delivery.",Feature,0.979644187,Customer Service,0.012385322,Price,0.007970491,Feature,
"It isn't enormously heavy with the panel probably weighing roughly 40 pounds, and I was able to lift it out of the box by myself without too much effort.",Price,0.853068156,Feature,0.089157153,Customer Service,0.057774691,Feature,
"First, it is shipped in the original box.",Feature,0.713336776,Price,0.266998566,Customer Service,0.019664658,Feature,
"With Enhanced Delivery, the crew will unpack it, inspect it, set it up, and make sure it works - if there's any problems, they'll pack it back up and take it away right then and there.",Customer Service,0.986095024,Feature,0.010830297,Price,0.003074679,customer Service,
"If UPS delivers it, they'll be long gone before you get it out of the box.",Price,0.499390557,Feature,0.429486287,Customer Service,0.071123156,nOne,
"Overall, the hardware is designed more for a dark room than it is for rooms with windows, lamps, and other sources of ambient lighting.",Feature,0.990816752,Price,0.006932191,Customer Service,0.002251058,feature,
"It does have some very nice aspects, though, such as being thin and having a nice layout for the connections on the back.",Feature,0.96860716,Price,0.019366013,Customer Service,0.012026828,feature,
"I think that the shiny bezel is distracting, and I wish that the power/navigation button on the back was more conveniently located.",Feature,0.945549919,Customer Service,0.033755198,Price,0.020694883,feature,
"The response was pretty much a canned response that seemed typical of if the customer mentions X anywhere, push this button.",Customer Service,0.953430194,Price,0.031091162,Feature,0.015478644,customer Service,
"Here's what you need to know - their warranty doesn't cover concealed damage that might have occurred in shipping, which is what they call it if the TV is defective but the box looks fine.",Feature,0.828613288,Customer Service,0.151617723,Price,0.019768988,customer Service,
"Also consider this - Samsung was actually the store that provided this TV, but they still don't consider it something they need to deal with.",Customer Service,0.963636357,Feature,0.031260827,Price,0.005102816,customer Service,
Plenty of connectivity.,Feature,0.505476792,Customer Service,0.393889758,Price,0.100633449,feature,
"Most connections are not on the TV itself, they are located on the mini connect box.",Feature,0.986916413,Customer Service,0.009032845,Price,0.004050742,feature,
"Very convenient, but I wish there was at least one HDMI on the TV itself.",Feature,0.985397232,Price,0.008090607,Customer Service,0.006512161,feature,
"These screws are only about 3/8"" long by about 1/8"" in diameter.",Price,0.59976862,Feature,0.27455178,Customer Service,0.1256796,Feature,
My wife was holding onto the edge of the screen frame to steady the TV as it appeared shaky.,Feature,0.865842549,Price,0.11486323,Customer Service,0.019294221,Feature,
"I intend to get the same TV as a replacement (I bought the Square Deal insurance policy, thank goodness!).",Price,0.739828354,Feature,0.20055724,Customer Service,0.059614405,none,
I am even considering contacting consumer protection agencies - it appears to me to be that important.,Customer Service,0.83738373,Price,0.141709906,Feature,0.020906364,customer Service,
"Instead of returning it, since I had thrown away the box, I decided to call Samsung and use the warranty.",Customer Service,0.992547554,Feature,0.004940781,Price,0.002511665,customer Service,
We take the screen out and sure enough it's cracked and dented.,Feature,0.86639903,Price,0.078082204,Customer Service,0.055518766,feature,
"For issues like mine they transfer you to ""executive customer service"" which is exactly the same thing except they're not off shore.",Customer Service,0.993429092,Feature,0.003784152,Price,0.002786756,Customer Service,
I had plasma but wanted to move up to bigger size.,Feature,0.61077082,Customer Service,0.246141172,Price,0.143088008,None,
First one of these I got had two blue dots that looked like a thumb print.,Price,0.771663794,Feature,0.184312853,Customer Service,0.044023353,Feature,
The second one has clouds/lights in the corners so bad it looks like I'm looking thru one of those videos replicating someone drunk.,Feature,1,Price,0,Customer Service,0,Feature,
options available.,Feature,0.985242704,Customer Service,0.008008622,Price,0.006748674,None,
"within the original price range of $1,000.00.",Price,0.988386569,Feature,0.008699267,Customer Service,0.002914164,Price,
Screen pops nicely and upscales content well.,Feature,0.985575406,Customer Service,0.009449244,Price,0.00497535,Feature,
The nanocrystal technology may be a gimmick but the picture tells a different story.,Feature,0.990941216,Customer Service,0.005989371,Price,0.003069412,Feature,
"I contacted Samsung about the issues to see how they'd handle it, sent them photos of the misshapen parts, and I was very clear that it was from Vine and that I didn't expect a new TV.",Customer Service,0.990549062,Feature,0.006326609,Price,0.003124329,CUSTomer Service,
"If you're buying this from a third party, this is just something more to think about because they might also claim that it happened in shipping and isn't their responsibility.",Customer Service,0.89866493,Price,0.09039094,Feature,0.010944129,Customer Service,
