SAFETY HAZARD WARNING!,Product,0.753399694,Other,0.142480281,Sentiment,0.084577433,Other,
"The picture quality is great, but this review is about basic safety IF you plan to use the base to mount your TV on a cabinet top or a table.",Product,0.803287543,Sentiment,0.177930531,Comparison,0.011179909,product,
IT IS DANGEROUS and needs to be recalled by Samsung.,Product,0.985733988,Comparison,0.006074705,Sentiment,0.004851091,sentiment,
I am going to mount my (replacement TV) on the wall.,Sentiment,0.489255635,Other,0.386035137,Product,0.10702485,sentiment,
"When this TV came in, I set it up on a table temporarily.",Other,0.503437231,Sentiment,0.385710212,Product,0.094814011,sentiment,
"I noticed how small the base mounting screws were, but I assumed the engineering was sufficient not to worry about the screws being strong enough - WRONG!",Product,0.953597944,Other,0.027377557,Sentiment,0.013626351,sentiment,product
"These screws are only about 3/8"" long by about 1/8"" in diameter.",Sentiment,0.891956003,Other,0.090776306,Product,0.010166021,product,
"To make a long story short and to make my point to potential buyers who plan to use this TV on the supplied base, my TV fell from the table and almost onto my 2 year old grandson.",Sentiment,0.946953364,Other,0.023468518,Product,0.023462569,sentiment,
"Luckily, my wife was standing by and stopped it from fully falling on him, although she has some bruises, My grandson pointed at letters on the bottom of the screen and touched the screen to show us a letter he knew.",Sentiment,0.744086237,Product,0.230928624,Other,0.01478576,sentiment,
My wife was holding onto the edge of the screen frame to steady the TV as it appeared shaky.,Sentiment,0.573296902,Product,0.402367508,Comparison,0.014257158,sentiment,
Boom!,Other,0.938573358,Product,0.028193351,Sentiment,0.025448975,sentiment,other
It fell.,Other,0.944222569,Sentiment,0.029072499,Product,0.020490478,sentiment,other
The small screws stripped and came loose very easily.,Sentiment,0.52296819,Product,0.415836377,Other,0.045066071,sentiment,product
My TV fell to the floor and the front screen cracked.,Product,0.919523476,Sentiment,0.058576236,Comparison,0.012757785,sentiment,
"It scared us, but my grandson was OK - just shaken.",Product,0.550051149,Sentiment,0.247201335,Comparison,0.111096032,sentiment,
I decided to work on getting this base recalled and potential buyers warned.,Other,0.660984845,Product,0.264225329,Sentiment,0.05719401,sentiment,
"Now, to be fair to both Amazon and Samsung, I was very impressed by the picture quality.",Sentiment,0.866633558,Other,0.074918827,Product,0.037287528,product,
"I intend to get the same TV as a replacement (I bought the Square Deal insurance policy, thank goodness!).",Other,0.390457952,Sentiment,0.310815661,Product,0.247418127,sentiment,other
"This review is not about the quality of the screen or the electronics, it is about safety.",Product,0.966223082,Other,0.016101267,Sentiment,0.012442607,sentiment,other
"I will be working with Amazon, Square Deal and Samsung to get these TV's recalled for the weak base design.",Product,0.718457358,Other,0.239921683,Sentiment,0.031269833,product,
I am even considering contacting consumer protection agencies - it appears to me to be that important.,Sentiment,0.979978753,Product,0.012370714,Other,0.00530402,sentiment,
PLEASE be aware of this dangerous design if you have small children in the house.,Sentiment,0.983943798,Other,0.00951858,Product,0.004576158,sentiment,product
"Actually, it's dangerous for anyone.",Other,0.940615371,Sentiment,0.026475869,Product,0.023137643,sentiment,
"A 65"" TV is heavy and could hurt anyone.",Product,0.976731365,Other,0.010265173,Sentiment,0.006847963,product,
"I really like Samsung products, but this design is a big disappointment to me.",Comparison,0.709201124,Product,0.260854123,Other,0.015426826,sentiment,product
I will write follow-up reviews on the TV itself and on Amazon/Samsung/Square Deal responses as well.,Other,0.990184796,Product,0.003586294,Sentiment,0.003150454,other,
I am writing this now to help protect people who might not know about these weak stands.,Other,0.657707886,Sentiment,0.3066569,Product,0.025411672,other,product
"I bought this TV from Best Buy, but I figured I'd write the review here as well.",Other,0.968741486,Sentiment,0.024064801,Comparison,0.004211036,other,
Purchased it on September 27th of this year.,Other,0.97681707,Sentiment,0.01631688,Product,0.004018747,sentiment,
"One month later, on October 25th, the screen stopped working.",Other,0.702036028,Product,0.193893872,Sentiment,0.089137522,product,
"The TV would power on and I could hear menu option clicks, but absolutely no screen.",Product,0.963255468,Sentiment,0.024042466,Other,0.008292134,product,
"Instead of returning it, since I had thrown away the box, I decided to call Samsung and use the warranty.",Product,0.673510435,Sentiment,0.294356404,Comparison,0.018046104,product,
