Boom!,Sentiment,0.975035194,Other,0.009250636,Feature,0.006851434,Enhancement,0.002622978,Issue,0.002420605,Comparison,0.002338659,Customer Service,0.001480495,"sentiment, other",1
I am going to mount my (replacement TV) on the wall.,Sentiment,0.821209078,Other,0.128738612,Issue,0.019191503,Comparison,0.010050231,Feature,0.009839158,Enhancement,0.005513331,Customer Service,0.005458087,sentiment,1
"When this TV came in, I set it up on a table temporarily.",Other,0.735497866,Sentiment,0.142624639,Issue,0.070713228,Feature,0.022137949,Enhancement,0.010922709,Customer Service,0.0105853,Comparison,0.007518309,sentiment,0
"To make a long story short and to make my point to potential buyers who plan to use this TV on the supplied base, my TV fell from the table and almost onto my 2 year old grandson.",Sentiment,0.990296739,Issue,0.002221108,Other,0.002087357,Enhancement,0.001560996,Customer Service,0.00147827,Comparison,0.001314167,Feature,0.001041362,sentiment,1
"Luckily, my wife was standing by and stopped it from fully falling on him, although she has some bruises, My grandson pointed at letters on the bottom of the screen and touched the screen to show us a letter he knew.",Sentiment,0.585923868,Issue,0.335729887,Other,0.036908823,Customer Service,0.018296686,Feature,0.009104349,Comparison,0.007466783,Enhancement,0.006569604,sentiment,1
My wife was holding onto the edge of the screen frame to steady the TV as it appeared shaky.,Issue,0.891454367,Sentiment,0.080230846,Enhancement,0.008652668,Feature,0.006941983,Comparison,0.006053956,Customer Service,0.003489076,Other,0.003177106,sentiment,0
It fell.,Other,0.772392316,Sentiment,0.127468292,Issue,0.042442605,Feature,0.019633166,Customer Service,0.01502421,Enhancement,0.012710048,Comparison,0.010329362,"sentiment, other",1
"I intend to get the same TV as a replacement (I bought the Square Deal insurance policy, thank goodness!",Other,0.426548337,Sentiment,0.377242234,Comparison,0.130706312,Customer Service,0.022722785,Issue,0.016880194,Enhancement,0.013040983,Feature,0.012859155,"sentiment, other",0
My TV fell to the floor and the front screen cracked.,Issue,0.946515494,Feature,0.029046916,Sentiment,0.012101803,Comparison,0.004315126,Other,0.002934535,Enhancement,0.002587612,Customer Service,0.002498514,sentiment,0
"It scared us, but my grandson was OK - just shaken.",Sentiment,0.870237875,Feature,0.067924892,Comparison,0.025257602,Issue,0.014205083,Other,0.008947252,Customer Service,0.008242366,Enhancement,0.005184931,sentiment,1
I decided to work on getting this base recalled and potential buyers warned.,Sentiment,0.532412256,Other,0.24059644,Customer Service,0.121602128,Comparison,0.042918727,Issue,0.026462704,Enhancement,0.021496291,Feature,0.014511456,sentiment,1
"This review is not about the quality of the screen or the electronics, it is about safety.",Feature,0.48676085,Sentiment,0.242605761,Other,0.148731273,Issue,0.060232009,Enhancement,0.02439228,Comparison,0.022449934,Customer Service,0.014827893,"sentiment, other",0
Anything is probably better than Samsung.,Comparison,0.980634275,Feature,0.00748309,Sentiment,0.005125588,Enhancement,0.002491371,Customer Service,0.001774808,Other,0.001354389,Issue,0.001136478,"sentiment, other",0
I am even considering contacting consumer protection agencies - it appears to me to be that important.,Sentiment,0.981649371,Customer Service,0.007681488,Other,0.0043094,Feature,0.002374656,Enhancement,0.00159939,Comparison,0.001268359,Issue,0.001117336,sentiment,1
"Actually, it's dangerous for anyone.",Other,0.753464408,Sentiment,0.143203796,Customer Service,0.029342031,Feature,0.02712568,Enhancement,0.021982707,Comparison,0.013195028,Issue,0.011686349,sentiment,0
Purchased it on September 27th of this year.,Other,0.789726632,Sentiment,0.175755102,Issue,0.009703655,Customer Service,0.007475934,Enhancement,0.007246319,Feature,0.005804381,Comparison,0.004287977,sentiment,0
"It took them 5 days to get a technician to my home (Technical Difficulties was the company, out of Green Bay Wisconsin).",Issue,0.813874732,Customer Service,0.155093082,Sentiment,0.011481951,Comparison,0.006038881,Enhancement,0.005052136,Other,0.00474953,Feature,0.003709688,sentiment,0
SAFETY HAZARD WARNING!,Sentiment,0.975345504,Enhancement,0.006054561,Other,0.006019096,Feature,0.004596991,Customer Service,0.00308759,Comparison,0.002545243,Issue,0.002351015,Other,0
I will write follow-up reviews on the TV itself and on Amazon/Samsung/Square Deal responses as well.,Other,0.985145372,Sentiment,0.004620316,Feature,0.00436201,Customer Service,0.001939797,Enhancement,0.001450302,Comparison,0.00138937,Issue,0.001092832,other,1
"I bought this TV from Best Buy, but I figured I'd write the review here as well.",Sentiment,0.766961641,Other,0.203988438,Comparison,0.007704234,Feature,0.007384007,Customer Service,0.00609626,Issue,0.004149678,Enhancement,0.003715742,other,0
